0.50 - 00015051 - CREATE - Command: ./simpledu -a -l ../TestDir --block-size=1024 -S
0.69 - 00015051 - RECV_SIGNAL - 2
0.92 - 00015051 - SEND_SIGNAL - Sent 18 to process 15051
1.07 - 00015051 - RECV_SIGNAL - 18
1.31 - 00015051 - ENTRY - 0 ../TestDir/symbolic_link
1.45 - 00015051 - ENTRY - 0 ../TestDir/image_link
-1.35 - 00015053 - ENTRY - 472 ../TestDir/er/cinco.xpm
-1.08 - 00015053 - ENTRY - 4 ../TestDir/er/arrow.png
-0.99 - 00015053 - ENTRY - 12 ../TestDir/er/coin-2.png
-0.91 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-0.png
-0.80 - 00015053 - ENTRY - 4 ../TestDir/er/airtux-hat.png
-0.74 - 00015053 - ENTRY - 4 ../TestDir/er/coin-1.xpm
-0.67 - 00015053 - ENTRY - 8 ../TestDir/er/burning-0.png
-0.58 - 00015053 - ENTRY - 36 ../TestDir/er/cloud-mountains-forground.png
-0.51 - 00015053 - ENTRY - 88 ../TestDir/er/bridgecloud-dark.png
-0.45 - 00015053 - ENTRY - 4 ../TestDir/er/broken.png
-0.38 - 00015053 - ENTRY - 424 ../TestDir/er/cloud-mountains-bottom.png
-0.32 - 00015053 - ENTRY - 244 ../TestDir/er/arctis2.png
-0.26 - 00015053 - ENTRY - 8 ../TestDir/er/burning-3.png
-0.20 - 00015053 - ENTRY - 8 ../TestDir/er/arctis_top.jpg
-0.14 - 00015053 - ENTRY - 44 ../TestDir/er/castle_foreground.png
-0.09 - 00015053 - ENTRY - 4 ../TestDir/er/coin-5.xpm
-0.03 - 00015053 - ENTRY - 104604 ../TestDir/er/code-ANTIGO.zip
0.03 - 00015053 - ENTRY - 12 ../TestDir/er/coin-1.png
0.09 - 00015053 - ENTRY - 88 ../TestDir/er/bluemountain-bottom.png
0.14 - 00015053 - ENTRY - 116 ../TestDir/er/arcticskies35.png
0.20 - 00015053 - ENTRY - 8 ../TestDir/er/air_display.png
0.26 - 00015053 - ENTRY - 20 ../TestDir/er/billboard-backflip.png
0.32 - 00015053 - ENTRY - 8 ../TestDir/er/burning-4.png
0.37 - 00015053 - ENTRY - 176 ../TestDir/er/block-snow-midground.png
0.43 - 00015053 - ENTRY - 172 ../TestDir/er/bluemountain2.png
0.49 - 00015053 - ENTRY - 4 ../TestDir/er/az.po
0.55 - 00015053 - ENTRY - 4 ../TestDir/er/bark-0.png
0.61 - 00015053 - ENTRY - 40 ../TestDir/er/billboard-climbing.png
0.70 - 00015053 - ENTRY - 316 ../TestDir/er/arctis_bottom_para3.png
-1.57 - 00015054 - ENTRY - 4 ../TestDir/er/code/grafics.c
-1.28 - 00015054 - ENTRY - 4 ../TestDir/er/code/keyboard.c
-1.19 - 00015054 - ENTRY - 4 ../TestDir/er/code/i8254.h
-1.10 - 00015054 - ENTRY - 1816 ../TestDir/er/code/fundo.xpm
-1.02 - 00015054 - ENTRY - 4 ../TestDir/er/code/trace.txt
-0.94 - 00015054 - ENTRY - 4 ../TestDir/er/code/jogo.h
-0.87 - 00015054 - ENTRY - 4 ../TestDir/er/code/jogo.c
-0.80 - 00015054 - ENTRY - 0 ../TestDir/er/code/.gdbinit
-0.72 - 00015054 - ENTRY - 2352 ../TestDir/er/code/fundY.xpm
-0.65 - 00015054 - ENTRY - 8 ../TestDir/er/code/grafics.o
-0.58 - 00015054 - ENTRY - 4120 ../TestDir/er/code/proj
-0.50 - 00015054 - ENTRY - 2708 ../TestDir/er/code/jogo.o
-0.43 - 00015054 - ENTRY - 4 ../TestDir/er/code/grafics.h
-0.36 - 00015054 - ENTRY - 4 ../TestDir/er/code/keyboard.h
-0.29 - 00015054 - ENTRY - 4 ../TestDir/er/code/utils.o
-0.22 - 00015054 - ENTRY - 4 ../TestDir/er/code/mouse.h
-0.15 - 00015054 - ENTRY - 4 ../TestDir/er/code/utils.c
-0.06 - 00015054 - ENTRY - 4 ../TestDir/er/code/Makefile
0.01 - 00015054 - ENTRY - 0 ../TestDir/er/code/output.txt
0.10 - 00015054 - ENTRY - 4 ../TestDir/er/code/timer.c
0.20 - 00015054 - ENTRY - 4 ../TestDir/er/code/timer.o
0.27 - 00015054 - ENTRY - 4 ../TestDir/er/code/proj.c
-1.78 - 00015055 - ENTRY - 20 ../TestDir/er/code/tux_backwards/tux-walk-0b.xpm
-1.50 - 00015055 - ENTRY - 20 ../TestDir/er/code/tux_backwards/tux-standb.xpm
-1.42 - 00015055 - ENTRY - 20 ../TestDir/er/code/tux_backwards/tux-walk-4b.xpm
-1.59 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/grafics.c
-1.33 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/arrow.png
-1.25 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/keyboard.c
-1.16 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/i8254.h
-1.09 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/jogo_funcs.h
-1.01 - 00015056 - ENTRY - 1816 ../TestDir/er/code/tux_backwards/code/fundo.xpm
-0.95 - 00015056 - ENTRY - 1516 ../TestDir/er/code/tux_backwards/code/trace.txt
-0.86 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/jogo.h
-0.70 - 00015056 - ENTRY - 8 ../TestDir/er/code/tux_backwards/code/jogo.c
-0.62 - 00015056 - ENTRY - 0 ../TestDir/er/code/tux_backwards/code/.gdbinit
-0.54 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/countdown.o
-0.45 - 00015056 - ENTRY - 2352 ../TestDir/er/code/tux_backwards/code/fundY.xpm
-0.38 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/game_macros.h
-0.30 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/game_structs.h
-0.22 - 00015056 - ENTRY - 8 ../TestDir/er/code/tux_backwards/code/grafics.o
-0.14 - 00015056 - ENTRY - 4432 ../TestDir/er/code/tux_backwards/code/proj
-0.06 - 00015056 - ENTRY - 1440 ../TestDir/er/code/tux_backwards/code/super_tux.xpm
0.02 - 00015056 - ENTRY - 3288 ../TestDir/er/code/tux_backwards/code/jogo.o
0.13 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/grafics.h
0.26 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/keyboard.h
0.38 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/utils.o
0.48 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/mouse.h
0.59 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/utils.c
0.72 - 00015056 - ENTRY - 12 ../TestDir/er/code/tux_backwards/code/jogo_funcs.c
0.83 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/Makefile
0.94 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/countdown.h
1.06 - 00015056 - ENTRY - 116 ../TestDir/er/code/tux_backwards/code/jogo_funcs.o
1.18 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/output.txt
1.29 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/timer.c
-1.51 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/cinco.xpm
-1.30 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/fire_bullet-2.xpm
-1.25 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/fire_bullet-0.xpm
-1.22 - 00015057 - ENTRY - 1816 ../TestDir/er/code/tux_backwards/code/img_files/fundo.xpm
-1.18 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/coin-1.xpm
-1.15 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-walk-0b.xpm
-1.11 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-standb.xpm
-1.08 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-walk-4b.xpm
-1.04 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-walk-4.xpm
-1.00 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_jump.xpm
-0.96 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/coin-5.xpm
-0.93 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/nove.xpm
-0.89 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_duck.xpm
-0.85 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-walk-3b.xpm
-0.80 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/coin-0.xpm
-0.77 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/coin-2.xpm
-0.74 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/tres.xpm
-0.71 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_duckb.xpm
-0.69 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_jumpb.xpm
-0.66 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/sete.xpm
-0.63 - 00015057 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/img_files/coin-4.xpm
-0.60 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/seis.xpm
